benchmark,transport,scenario,payload_size,sample,duration_ns,throughput_mbps
payload_scaling,TCP,localhost,1KB,48,191131,5.3576
payload_scaling,TCP,localhost,1KB,49,132879,7.7063
payload_scaling,TCP,localhost,1KB,50,117619,8.7061
payload_scaling,TCP,localhost,16KB,1,531042,30.8526
payload_scaling,TCP,localhost,16KB,2,450872,36.3385
payload_scaling,TCP,localhost,16KB,3,482372,33.9655
payload_scaling,TCP,localhost,16KB,4,450822,36.3425
payload_scaling,TCP,localhost,16KB,5,1525143,10.7426
payload_scaling,TCP,localhost,16KB,6,2339112,7.0044
payload_scaling,TCP,localhost,16KB,7,2718748,6.0263
payload_scaling,TCP,localhost,16KB,8,360516,45.4460
payload_scaling,TCP,localhost,16KB,9,297344,55.1012
payload_scaling,TCP,localhost,16KB,10,288367,56.8165
payload_scaling,TCP,localhost,16KB,11,279450,58.6295
payload_scaling,TCP,localhost,16KB,12,353153,46.3935
payload_scaling,TCP,localhost,16KB,13,383869,42.6812
payload_scaling,TCP,localhost,16KB,14,371101,44.1497
payload_scaling,TCP,localhost,16KB,15,377182,43.4379
payload_scaling,TCP,localhost,16KB,16,320311,51.1503
payload_scaling,TCP,localhost,16KB,17,330593,49.5594
payload_scaling,TCP,localhost,16KB,18,275518,59.4662
payload_scaling,TCP,localhost,16KB,19,308112,53.1755
payload_scaling,TCP,localhost,16KB,20,289798,56.5359
payload_scaling,TCP,localhost,16KB,21,333019,49.1984
payload_scaling,TCP,localhost,16KB,22,386594,42.3804
payload_scaling,TCP,localhost,16KB,23,348960,46.9509
payload_scaling,TCP,localhost,16KB,24,361094,45.3732
payload_scaling,TCP,localhost,16KB,25,374897,43.7027
payload_scaling,TCP,localhost,16KB,26,415725,39.4107
payload_scaling,TCP,localhost,16KB,27,389470,42.0674
payload_scaling,TCP,localhost,16KB,28,349560,46.8704
payload_scaling,TCP,localhost,16KB,29,2167594,7.5586
payload_scaling,TCP,localhost,16KB,30,370119,44.2668
payload_scaling,TCP,localhost,16KB,31,326860,50.1254
payload_scaling,TCP,localhost,16KB,32,529701,30.9307
payload_scaling,TCP,localhost,16KB,33,480685,34.0847
payload_scaling,TCP,localhost,16KB,34,614989,26.6411
payload_scaling,TCP,localhost,16KB,35,529667,30.9326
payload_scaling,TCP,localhost,16KB,36,596939,27.4467
payload_scaling,TCP,localhost,16KB,37,478718,34.2247
payload_scaling,TCP,localhost,16KB,38,661891,24.7533
payload_scaling,TCP,localhost,16KB,39,631920,25.9273
payload_scaling,TCP,localhost,16KB,40,668493,24.5089
payload_scaling,TCP,localhost,16KB,41,611687,26.7849
payload_scaling,TCP,localhost,16KB,42,664336,24.6622
payload_scaling,TCP,localhost,16KB,43,589988,27.7701
payload_scaling,TCP,localhost,16KB,44,561211,29.1940
payload_scaling,TCP,localhost,16KB,45,583879,28.0606
payload_scaling,TCP,localhost,16KB,46,649677,25.2187
payload_scaling,TCP,localhost,16KB,47,847316,19.3364
payload_scaling,TCP,localhost,16KB,48,626782,26.1399
payload_scaling,TCP,localhost,16KB,49,423688,38.6700
payload_scaling,TCP,localhost,16KB,50,352829,46.4361
payload_scaling,TCP,localhost,64KB,1,1361979,48.1182
payload_scaling,TCP,localhost,64KB,2,1112315,58.9186
payload_scaling,TCP,localhost,64KB,3,1150871,56.9447
payload_scaling,TCP,localhost,64KB,4,3021591,21.6892
payload_scaling,TCP,localhost,64KB,5,1557780,42.0701
payload_scaling,TCP,localhost,64KB,6,1476244,44.3937
payload_scaling,TCP,localhost,64KB,7,6355631,10.3115
payload_scaling,TCP,localhost,64KB,8,4487243,14.6050
payload_scaling,TCP,localhost,64KB,9,2906955,22.5446
payload_scaling,TCP,localhost,64KB,10,1504585,43.5575
payload_scaling,TCP,localhost,64KB,11,1028132,63.7428
payload_scaling,TCP,localhost,64KB,12,1128754,58.0605
payload_scaling,TCP,localhost,64KB,13,2472404,26.5070
payload_scaling,TCP,localhost,64KB,14,2862956,22.8910
payload_scaling,TCP,localhost,64KB,15,1527120,42.9148
payload_scaling,TCP,localhost,64KB,16,5238030,12.5116
payload_scaling,TCP,localhost,64KB,17,2953870,22.1865
payload_scaling,TCP,localhost,64KB,18,2099250,31.2188
payload_scaling,TCP,localhost,64KB,19,1008546,64.9807
payload_scaling,TCP,localhost,64KB,20,1271222,51.5535
payload_scaling,TCP,localhost,64KB,21,1933424,33.8963
payload_scaling,TCP,localhost,64KB,22,1777860,36.8623
payload_scaling,TCP,localhost,64KB,23,5488297,11.9410
payload_scaling,TCP,localhost,64KB,24,1164776,56.2649
payload_scaling,TCP,localhost,64KB,25,1097212,59.7296
payload_scaling,TCP,localhost,64KB,26,8769398,7.4733
payload_scaling,TCP,localhost,64KB,27,1358536,48.2402
payload_scaling,TCP,localhost,64KB,28,3389272,19.3363
payload_scaling,TCP,localhost,64KB,29,1038186,63.1255
payload_scaling,TCP,localhost,64KB,30,1018636,64.3370
payload_scaling,TCP,localhost,64KB,31,1097322,59.7236
payload_scaling,TCP,localhost,64KB,32,1299601,50.4278
payload_scaling,TCP,localhost,64KB,33,4952581,13.2327
payload_scaling,TCP,localhost,64KB,34,5077934,12.9060
payload_scaling,TCP,localhost,64KB,35,1009519,64.9180
payload_scaling,TCP,localhost,64KB,36,1022921,64.0675
payload_scaling,TCP,localhost,64KB,37,6107310,10.7307
payload_scaling,TCP,localhost,64KB,38,1359648,48.2007
payload_scaling,TCP,localhost,64KB,39,1424611,46.0027
payload_scaling,TCP,localhost,64KB,40,4840894,13.5380
payload_scaling,TCP,localhost,64KB,41,1125859,58.2098
payload_scaling,TCP,localhost,64KB,42,4092665,16.0130
payload_scaling,TCP,localhost,64KB,43,4696941,13.9529
payload_scaling,TCP,localhost,64KB,44,3407860,19.2308
payload_scaling,TCP,localhost,64KB,45,1110725,59.0029
payload_scaling,TCP,localhost,64KB,46,1037022,63.1963
payload_scaling,TCP,localhost,64KB,47,1027436,63.7860
payload_scaling,TCP,localhost,64KB,48,15811216,4.1449
payload_scaling,TCP,localhost,64KB,49,7282306,8.9993
payload_scaling,TCP,localhost,64KB,50,1733976,37.7952
payload_scaling,QUIC,localhost,128B,1,193023,0.6631
payload_scaling,QUIC,localhost,128B,2,25600,5.0000
payload_scaling,QUIC,localhost,128B,3,17937,7.1361
payload_scaling,QUIC,localhost,128B,4,17191,7.4458
payload_scaling,QUIC,localhost,128B,5,22098,5.7924
payload_scaling,QUIC,localhost,128B,6,20898,6.1250
payload_scaling,QUIC,localhost,128B,7,501529,0.2552
payload_scaling,QUIC,localhost,128B,8,22739,5.6291
payload_scaling,QUIC,localhost,128B,9,12936,9.8949
payload_scaling,QUIC,localhost,128B,10,12337,10.3753
payload_scaling,QUIC,localhost,128B,11,12965,9.8727
payload_scaling,QUIC,localhost,128B,12,12491,10.2474
payload_scaling,QUIC,localhost,128B,13,153425,0.8343
payload_scaling,QUIC,localhost,128B,14,62596,2.0449
payload_scaling,QUIC,localhost,128B,15,13585,9.4222
payload_scaling,QUIC,localhost,128B,16,20813,6.1500
payload_scaling,QUIC,localhost,128B,17,22899,5.5898
payload_scaling,QUIC,localhost,128B,18,17467,7.3281
payload_scaling,QUIC,localhost,128B,19,9081,14.0954
payload_scaling,QUIC,localhost,128B,20,7644,16.7452
payload_scaling,QUIC,localhost,128B,21,45849,2.7918
payload_scaling,QUIC,localhost,128B,22,7796,16.4187
payload_scaling,QUIC,localhost,128B,23,112855,1.1342
payload_scaling,QUIC,localhost,128B,24,8250,15.5152
payload_scaling,QUIC,localhost,128B,25,7407,17.2810
payload_scaling,QUIC,localhost,128B,26,7718,16.5846
payload_scaling,QUIC,localhost,128B,27,6943,18.4358
payload_scaling,QUIC,localhost,128B,28,6988,18.3171
payload_scaling,QUIC,localhost,128B,29,90209,1.4189
payload_scaling,QUIC,localhost,128B,30,9950,12.8643
payload_scaling,QUIC,localhost,128B,31,7493,17.0826
payload_scaling,QUIC,localhost,128B,32,6806,18.8069
payload_scaling,QUIC,localhost,128B,33,7043,18.1741
payload_scaling,QUIC,localhost,128B,34,6931,18.4678
payload_scaling,QUIC,localhost,128B,35,1098900,0.1165
payload_scaling,QUIC,localhost,128B,36,15474,8.2719
payload_scaling,QUIC,localhost,128B,37,12367,10.3501
payload_scaling,QUIC,localhost,128B,38,11578,11.0554
payload_scaling,QUIC,localhost,128B,39,13012,9.8371
payload_scaling,QUIC,localhost,128B,40,12359,10.3568
payload_scaling,QUIC,localhost,128B,41,191878,0.6671
payload_scaling,QUIC,localhost,128B,42,16838,7.6019
payload_scaling,QUIC,localhost,128B,43,11407,11.2212
payload_scaling,QUIC,localhost,128B,44,12925,9.9033
payload_scaling,QUIC,localhost,128B,45,11386,11.2419
payload_scaling,QUIC,localhost,128B,46,11826,10.8236
payload_scaling,QUIC,localhost,128B,47,129531,0.9882
payload_scaling,QUIC,localhost,128B,48,13972,9.1612
payload_scaling,QUIC,localhost,128B,49,12409,10.3151
payload_scaling,QUIC,localhost,128B,50,12470,10.2646
payload_scaling,QUIC,localhost,1KB,1,168313,6.0839
payload_scaling,QUIC,localhost,1KB,2,287234,3.5650
payload_scaling,QUIC,localhost,1KB,3,64679,15.8320
payload_scaling,QUIC,localhost,1KB,4,315278,3.2479
payload_scaling,QUIC,localhost,1KB,5,311798,3.2842
payload_scaling,QUIC,localhost,1KB,6,159044,6.4385
payload_scaling,QUIC,localhost,1KB,7,2117009,0.4837
payload_scaling,QUIC,localhost,1KB,8,1171961,0.8737
payload_scaling,QUIC,localhost,1KB,9,210383,4.8673
payload_scaling,QUIC,localhost,1KB,10,34114,30.0170
payload_scaling,QUIC,localhost,1KB,11,193541,5.2909
payload_scaling,QUIC,localhost,1KB,12,2562896,0.3995
payload_scaling,QUIC,localhost,1KB,13,150409,6.8081
payload_scaling,QUIC,localhost,1KB,14,1226339,0.8350
payload_scaling,QUIC,localhost,1KB,15,178373,5.7408
payload_scaling,QUIC,localhost,1KB,16,144315,7.0956
payload_scaling,QUIC,localhost,1KB,17,184817,5.5406
payload_scaling,QUIC,localhost,1KB,18,163822,6.2507
payload_scaling,QUIC,localhost,1KB,19,163478,6.2638
payload_scaling,QUIC,localhost,1KB,20,136193,7.5187
payload_scaling,QUIC,localhost,1KB,21,277857,3.6853
payload_scaling,QUIC,localhost,1KB,22,163054,6.2801
payload_scaling,QUIC,localhost,1KB,23,131815,7.7685
payload_scaling,QUIC,localhost,1KB,24,54373,18.8329
payload_scaling,QUIC,localhost,1KB,25,58469,17.5136
payload_scaling,QUIC,localhost,1KB,26,155615,6.5803
payload_scaling,QUIC,localhost,1KB,27,445096,2.3006
payload_scaling,QUIC,localhost,1KB,28,218328,4.6902
payload_scaling,QUIC,localhost,1KB,29,34397,29.7700
payload_scaling,QUIC,localhost,1KB,30,5006377,0.2045
payload_scaling,QUIC,localhost,1KB,31,171142,5.9833
payload_scaling,QUIC,localhost,1KB,32,62265,16.4458
payload_scaling,QUIC,localhost,1KB,33,82046,12.4808
payload_scaling,QUIC,localhost,1KB,34,30392,33.6931
payload_scaling,QUIC,localhost,1KB,35,208271,4.9167
payload_scaling,QUIC,localhost,1KB,36,68272,14.9988
payload_scaling,QUIC,localhost,1KB,37,95582,10.7133
payload_scaling,QUIC,localhost,1KB,38,148209,6.9092
payload_scaling,QUIC,localhost,1KB,39,189772,5.3959
payload_scaling,QUIC,localhost,1KB,40,29990,34.1447
payload_scaling,QUIC,localhost,1KB,41,220706,4.6397
payload_scaling,QUIC,localhost,1KB,42,312500,3.2768
payload_scaling,QUIC,localhost,1KB,43,28600,35.8042
payload_scaling,QUIC,localhost,1KB,44,178586,5.7339
payload_scaling,QUIC,localhost,1KB,45,99271,10.3152
payload_scaling,QUIC,localhost,1KB,46,37722,27.1460
payload_scaling,QUIC,localhost,1KB,47,157168,6.5153
payload_scaling,QUIC,localhost,1KB,48,243218,4.2102
payload_scaling,QUIC,localhost,1KB,49,32006,31.9940
payload_scaling,QUIC,localhost,1KB,50,97183,10.5368
payload_scaling,QUIC,localhost,16KB,1,955527,17.1466
payload_scaling,QUIC,localhost,16KB,2,3074879,5.3283
payload_scaling,QUIC,localhost,16KB,3,1154504,14.1914
payload_scaling,QUIC,localhost,16KB,4,3199032,5.1215
payload_scaling,QUIC,localhost,16KB,5,602697,27.1845
payload_scaling,QUIC,localhost,16KB,6,2505836,6.5383
payload_scaling,QUIC,localhost,16KB,7,635952,25.7630
payload_scaling,QUIC,localhost,16KB,8,678376,24.1518
payload_scaling,QUIC,localhost,16KB,9,582691,28.1178
payload_scaling,QUIC,localhost,16KB,10,3514309,4.6621
payload_scaling,QUIC,localhost,16KB,11,525927,31.1526
payload_scaling,QUIC,localhost,16KB,12,648820,25.2520
payload_scaling,QUIC,localhost,16KB,13,6689117,2.4494
payload_scaling,QUIC,localhost,16KB,14,1336549,12.2584
payload_scaling,QUIC,localhost,16KB,15,6475008,2.5303
payload_scaling,QUIC,localhost,16KB,16,858190,19.0913
payload_scaling,QUIC,localhost,16KB,17,841760,19.4640
payload_scaling,QUIC,localhost,16KB,18,836101,19.5957
payload_scaling,QUIC,localhost,16KB,19,794485,20.6222
payload_scaling,QUIC,localhost,16KB,20,854896,19.1649
payload_scaling,QUIC,localhost,16KB,21,3473737,4.7165
payload_scaling,QUIC,localhost,16KB,22,1894730,8.6471
payload_scaling,QUIC,localhost,16KB,23,2213655,7.4013
payload_scaling,QUIC,localhost,16KB,24,792613,20.6709
payload_scaling,QUIC,localhost,16KB,25,3285169,4.9873
payload_scaling,QUIC,localhost,16KB,26,687159,23.8431
payload_scaling,QUIC,localhost,16KB,27,3428975,4.7781
payload_scaling,QUIC,localhost,16KB,28,1004695,16.3074
payload_scaling,QUIC,localhost,16KB,29,1035514,15.8221
payload_scaling,QUIC,localhost,16KB,30,3913294,4.1868
payload_scaling,QUIC,localhost,16KB,31,1291999,12.6811
payload_scaling,QUIC,localhost,16KB,32,1026335,15.9636
payload_scaling,QUIC,localhost,16KB,33,978117,16.7506
payload_scaling,QUIC,localhost,16KB,34,481331,34.0389
payload_scaling,QUIC,localhost,16KB,35,1229119,13.3299
payload_scaling,QUIC,localhost,16KB,36,1612123,10.1630
payload_scaling,QUIC,localhost,16KB,37,851813,19.2343
payload_scaling,QUIC,localhost,16KB,38,531132,30.8473
payload_scaling,QUIC,localhost,16KB,39,608419,26.9288
payload_scaling,QUIC,localhost,16KB,40,448811,36.5053
payload_scaling,QUIC,localhost,16KB,41,4458862,3.6745
payload_scaling,QUIC,localhost,16KB,42,3144313,5.2107
payload_scaling,QUIC,localhost,16KB,43,2339434,7.0034
payload_scaling,QUIC,localhost,16KB,44,803396,20.3934
payload_scaling,QUIC,localhost,16KB,45,591473,27.7003
payload_scaling,QUIC,localhost,16KB,46,1263454,12.9676
payload_scaling,QUIC,localhost,16KB,47,4300874,3.8095
payload_scaling,QUIC,localhost,16KB,48,802639,20.4127
payload_scaling,QUIC,localhost,16KB,49,1067201,15.3523
payload_scaling,QUIC,localhost,16KB,50,1005582,16.2931
payload_scaling,QUIC,localhost,64KB,1,2732681,23.9823
payload_scaling,QUIC,localhost,64KB,2,3050218,21.4857
payload_scaling,QUIC,localhost,64KB,3,2785206,23.5300
payload_scaling,QUIC,localhost,64KB,4,5055562,12.9631
payload_scaling,QUIC,localhost,64KB,5,6874276,9.5335
payload_scaling,QUIC,localhost,64KB,6,2041326,32.1046
payload_scaling,QUIC,localhost,64KB,7,3770526,17.3811
