benchmark,transport,scenario,nodes,sample,value_ns
steady_state_consensus,TCP,10ms,4,11,31028606
steady_state_consensus,TCP,10ms,4,12,30889784
steady_state_consensus,TCP,10ms,4,13,30859610
steady_state_consensus,TCP,10ms,4,14,31097020
steady_state_consensus,TCP,10ms,4,15,31124671
steady_state_consensus,TCP,10ms,4,16,30982408
steady_state_consensus,TCP,10ms,4,17,30833166
steady_state_consensus,TCP,10ms,4,18,31047650
steady_state_consensus,TCP,10ms,4,19,31090564
steady_state_consensus,TCP,10ms,4,20,31022329
steady_state_consensus,TCP,10ms,4,21,30745429
steady_state_consensus,TCP,10ms,4,22,31168402
steady_state_consensus,TCP,10ms,4,23,31194157
steady_state_consensus,TCP,10ms,4,24,30939410
steady_state_consensus,TCP,10ms,4,25,31230436
steady_state_consensus,TCP,10ms,4,26,30833230
steady_state_consensus,TCP,10ms,4,27,31252757
steady_state_consensus,TCP,10ms,4,28,30970476
steady_state_consensus,TCP,10ms,4,29,31141304
steady_state_consensus,TCP,10ms,4,30,30929374
steady_state_consensus,TCP,10ms,4,31,30791134
steady_state_consensus,TCP,10ms,4,32,31079595
steady_state_consensus,TCP,10ms,4,33,31370942
steady_state_consensus,TCP,10ms,4,34,31194648
steady_state_consensus,TCP,10ms,4,35,32465030
steady_state_consensus,TCP,10ms,4,36,31657008
steady_state_consensus,TCP,10ms,4,37,33412923
steady_state_consensus,TCP,10ms,4,38,32131052
steady_state_consensus,TCP,10ms,4,39,32387192
steady_state_consensus,TCP,10ms,4,40,33655813
steady_state_consensus,TCP,10ms,4,41,35433860
steady_state_consensus,TCP,10ms,4,42,32176715
steady_state_consensus,TCP,10ms,4,43,33870403
steady_state_consensus,TCP,10ms,4,44,32393502
steady_state_consensus,TCP,10ms,4,45,31613328
steady_state_consensus,TCP,10ms,4,46,31265277
steady_state_consensus,TCP,10ms,4,47,31244420
steady_state_consensus,TCP,10ms,4,48,31308680
steady_state_consensus,TCP,10ms,4,49,31384971
steady_state_consensus,TCP,10ms,4,50,30957035
