benchmark,transport,scenario,nodes,sample,value_ns
consensus_with_setup,QUIC,10ms,4,20,70105031
consensus_with_setup,QUIC,10ms,4,21,73311153
consensus_with_setup,QUIC,10ms,4,22,69834374
consensus_with_setup,QUIC,10ms,4,23,67608917
consensus_with_setup,QUIC,10ms,4,24,71051664
consensus_with_setup,QUIC,10ms,4,25,72593405
consensus_with_setup,QUIC,10ms,4,26,71030137
consensus_with_setup,QUIC,10ms,4,27,70217741
consensus_with_setup,QUIC,10ms,4,28,68097263
consensus_with_setup,QUIC,10ms,4,29,69749268
consensus_with_setup,QUIC,10ms,4,30,67596711
consensus_with_setup,TCP,50ms,4,1,253164595
consensus_with_setup,TCP,50ms,4,2,253918761
consensus_with_setup,TCP,50ms,4,3,252716748
consensus_with_setup,TCP,50ms,4,4,252630923
consensus_with_setup,TCP,50ms,4,5,252858359
consensus_with_setup,TCP,50ms,4,6,253130978
consensus_with_setup,TCP,50ms,4,7,252554926
consensus_with_setup,TCP,50ms,4,8,254269276
consensus_with_setup,TCP,50ms,4,9,252748266
consensus_with_setup,TCP,50ms,4,10,252470886
consensus_with_setup,TCP,50ms,4,11,252550948
consensus_with_setup,TCP,50ms,4,12,252613003
consensus_with_setup,TCP,50ms,4,13,252748213
consensus_with_setup,TCP,50ms,4,14,252657906
consensus_with_setup,TCP,50ms,4,15,253044197
consensus_with_setup,TCP,50ms,4,16,252860085
consensus_with_setup,TCP,50ms,4,17,252970609
consensus_with_setup,TCP,50ms,4,18,252889291
consensus_with_setup,TCP,50ms,4,19,254229256
consensus_with_setup,TCP,50ms,4,20,252329807
consensus_with_setup,TCP,50ms,4,21,252234771
consensus_with_setup,TCP,50ms,4,22,252644623
consensus_with_setup,TCP,50ms,4,23,252930466
consensus_with_setup,TCP,50ms,4,24,252280015
consensus_with_setup,TCP,50ms,4,25,252564682
consensus_with_setup,TCP,50ms,4,26,252355668
consensus_with_setup,TCP,50ms,4,27,252547617
consensus_with_setup,TCP,50ms,4,28,252187636
consensus_with_setup,TCP,50ms,4,29,252564296
consensus_with_setup,TCP,50ms,4,30,254263577
consensus_with_setup,QUIC,50ms,4,1,270827310
consensus_with_setup,QUIC,50ms,4,2,273877786
consensus_with_setup,QUIC,50ms,4,3,272090796
consensus_with_setup,QUIC,50ms,4,4,269045803
consensus_with_setup,QUIC,50ms,4,5,264302563
consensus_with_setup,QUIC,50ms,4,6,268965704
consensus_with_setup,QUIC,50ms,4,7,265527591
consensus_with_setup,QUIC,50ms,4,8,274917959
consensus_with_setup,QUIC,50ms,4,9,266241669
consensus_with_setup,QUIC,50ms,4,10,276645681
consensus_with_setup,QUIC,50ms,4,11,267032760
consensus_with_setup,QUIC,50ms,4,12,271916030
consensus_with_setup,QUIC,50ms,4,13,270622582
consensus_with_setup,QUIC,50ms,4,14,267246211
consensus_with_setup,QUIC,50ms,4,15,265081591
consensus_with_setup,QUIC,50ms,4,16,271964756
consensus_with_setup,QUIC,50ms,4,17,274569463
consensus_with_setup,QUIC,50ms,4,18,280301586
